Tenure,MonthlyCharges,TotalContacts,ContractType,SupportTickets,Churn
32,142.94746128937092,4,0,4,1
13,60.67954124374694,9,0,3,1
20,131.60583909170208,7,2,4,1
47,37.119297446706916,8,1,1,0
19,111.65531782596706,3,0,3,1
7,116.45710483681816,6,2,5,1
6,108.10402135617166,7,2,5,1
66,52.80091569756989,5,1,4,0
16,133.49560911197642,1,2,5,1
32,41.95160023815135,6,0,5,1
47,26.97252289770801,8,1,0,0
58,113.27044877954859,4,2,5,0
21,81.81184298025538,1,2,0,0
29,130.38274259462787,3,1,2,0
37,69.84162833757367,2,1,0,0
50,41.87621650600266,3,1,0,0
53,128.73748502108305,9,0,1,1
7,91.35825211320932,6,0,0,1
26,44.595453010746134,9,2,0,0
26,113.64991981623795,7,2,1,0
20,86.44477300363506,0,1,0,0
29,98.56068769124158,7,2,5,1
27,79.91678396685565,4,2,0,0
63,127.73216789634083,6,1,2,0
68,127.84315303879649,0,0,0,0
60,112.2205468371702,1,0,0,0
47,33.70217906154009,0,0,2,0
18,129.05100204752895,4,2,1,0
3,107.23168746927827,5,1,5,1
34,110.61314158055893,9,0,0,1
63,67.18776925250332,8,2,5,0
48,134.30634230041088,7,1,4,0
16,114.29830803053147,6,0,5,1
43,34.63676064879528,4,0,1,0
29,73.01114447280115,2,1,1,0
45,135.22944705481842,8,2,0,0
5,26.13557122065927,4,2,2,0
36,144.98416055346644,2,0,1,1
23,108.29113388154316,2,1,2,0
45,102.07887709363897,2,2,4,0
52,55.17270334343888,5,1,2,0
59,52.342932536093016,0,1,3,0
62,142.4675685335174,3,0,2,1
31,58.77541905043596,7,1,1,0
32,120.81568857346991,2,1,2,0
66,71.10583376692028,4,1,2,0
17,38.10302920201151,1,2,3,0
24,21.392988700396664,1,0,3,1
53,90.75345381198261,6,0,0,0
57,146.85124641136125,9,1,1,0
66,67.98770519519658,2,1,0,0
45,66.43500341909584,4,2,3,0
23,64.73191032042747,2,0,2,1
31,87.67069884963159,5,2,3,0
46,77.28643484515817,9,0,4,1
22,134.3889014745119,2,2,2,1
65,85.71770292405374,7,1,0,0
26,86.00851896451394,1,2,2,0
1,37.98830731367236,2,1,4,0
16,147.75614031835016,7,0,3,1
32,52.49647581294786,7,0,1,0
8,29.53732876974835,0,1,5,0
42,106.20901236677715,7,0,1,1
47,97.39762812039345,9,2,1,0
38,73.96893501905694,1,1,3,0
41,74.88499040448815,6,0,1,0
25,122.05830973603605,5,2,4,1
49,45.44264321295438,1,2,3,0
24,126.63293146283567,4,0,1,1
23,104.33712480635236,6,0,5,1
12,74.46607059133817,7,2,0,0
59,79.54372015590292,2,1,3,0
6,53.36413693419245,0,0,3,1
56,117.77486325060673,6,0,2,1
35,86.6737164996848,4,1,1,0
44,61.711090557479665,4,1,0,0
19,97.48651504892354,6,0,5,1
64,149.44547876667198,0,1,4,0
7,76.584096355352,7,2,3,0
15,139.68988210122055,9,2,4,1
13,64.8521891901936,4,2,4,0
14,27.115251900248165,7,0,4,1
65,46.551473827895755,9,1,2,0
31,74.43036863259894,9,2,4,0
62,48.55254071729397,4,1,1,0
50,20.02951496837322,6,2,1,0
24,138.95019990717856,9,1,0,0
57,129.70432346002076,2,2,0,0
62,116.49799009330313,1,2,5,0
61,41.81589743398372,5,2,4,0
21,35.64726490729819,4,2,4,0
57,28.78861743140981,8,2,2,0
57,114.12379454047976,9,2,4,0
48,140.74503488942509,3,2,4,0
51,75.96965671869481,2,2,4,0
41,35.488287359486264,8,2,3,0
69,86.61106669517386,7,1,3,0
14,65.34814796962192,5,1,2,0
53,68.7272401654997,0,0,2,0
59,100.77298114024195,9,2,1,0
7,113.43335472408631,0,1,2,1
52,34.37846785351091,5,1,5,0
59,24.62673000484193,2,1,1,0
4,149.26293934914293,2,1,4,1
67,50.254685359021735,5,1,2,0
5,26.99796823809968,2,1,5,0
46,44.683792782469595,9,0,2,0
54,25.064520025300347,5,1,2,0
39,70.93541630023232,4,0,1,0
51,124.31223197867216,3,0,1,1
15,64.36177846850367,7,2,0,0
12,77.74384289418765,1,2,1,0
29,107.82628056376704,6,2,1,0
18,86.15622910908442,3,1,3,0
16,131.98793918277215,1,2,2,1
62,132.58463775594834,6,1,1,0
18,21.288390413849974,0,1,2,0
57,121.14601984281589,3,2,2,0
54,79.8953680314176,8,2,3,0
61,148.5492703694762,3,0,2,1
22,82.82016986380657,2,0,5,1
8,148.29647290047868,9,1,1,1
11,118.09401695674576,9,1,2,1
0,52.318634999729824,1,2,0,0
57,89.9913473073045,2,2,0,0
0,148.97763313221574,0,0,3,1
33,131.47897900775007,9,2,5,1
47,32.657696192858744,7,1,1,0
0,111.8283595852995,0,2,3,1
15,64.92534616320569,2,0,0,1
60,20.907694044445254,2,1,5,0
63,72.45252597350995,1,0,1,0
62,50.51807482424627,4,0,2,0
68,126.4530051676613,9,1,1,0
21,63.85297914994951,2,0,4,1
66,127.57808021399622,2,2,1,0
25,20.07773204852339,7,2,2,0
15,60.01648950339549,3,0,4,1
50,51.351477860009055,3,2,5,0
56,50.36375693891942,2,0,3,0
28,28.86426056951015,0,2,5,0
68,44.32615515336522,7,0,1,0
46,92.22144408513059,0,2,3,0
61,57.876939468906784,6,1,1,0
68,74.26132170278923,4,1,0,0
15,68.9926944451345,3,2,0,0
47,133.8676402499863,3,0,2,1
38,137.68886987136702,7,2,5,1
32,84.0844063152618,5,0,0,0
22,62.92027354102857,0,2,4,0
9,33.88409152030727,9,2,4,0
68,143.94237431967235,7,1,1,0
33,27.829502837038667,1,0,3,0
51,58.69453608387646,5,0,4,1
9,58.74860615210054,8,0,1,1
18,61.652167198227936,0,0,3,1
57,41.3572896254132,5,0,0,0
0,121.81098602008063,7,1,1,1
68,35.9247220555786,9,2,3,0
3,102.53786568991116,1,0,2,1
15,36.09998347175627,4,0,5,1
23,29.169632887084354,5,2,5,0
1,138.22583547916395,4,1,2,1
31,44.71673962143174,2,1,4,0
23,126.76252009276156,3,1,5,1
11,90.80201324392766,6,2,3,1
49,30.121347549140047,3,2,2,0
34,144.20826488694877,8,1,4,1
32,52.104951708946025,9,1,1,0
32,131.75389489583884,1,2,1,0
60,41.945300751993344,4,1,3,0
50,131.01257467844087,7,0,3,1
42,21.719745677688216,4,2,3,0
11,86.53145935403249,9,1,5,1
66,120.02753532480239,7,0,3,1
64,141.52341727406184,7,2,2,0
32,138.19627770684332,8,2,2,0
39,126.55123304119384,9,0,4,1
42,135.46487545596955,5,2,2,0
43,45.89855915881995,3,1,5,0
28,56.94395844252474,2,2,1,0
12,57.56590823973761,4,1,4,0
11,69.01701103022084,5,0,2,1
45,71.13168715007453,2,0,3,1
1,90.79219220510781,1,2,2,1
34,40.78436923763738,6,0,0,0
7,109.86206629217861,4,0,4,1
25,41.78365010958584,8,2,5,0
33,60.34010267359118,2,1,2,0
6,85.43486697880003,7,2,2,0
67,123.53727299805205,5,2,5,0
57,116.13100032103455,3,1,1,0
28,103.9194663333679,8,1,3,0
35,40.25052387542212,4,1,3,0
20,91.1158949300251,9,2,1,0
35,31.368045233985107,5,1,1,0
9,69.0572129835646,8,0,0,1
23,73.7571489376947,6,1,5,1
63,25.175487127947996,4,0,4,0
48,55.618452931096336,1,1,3,0
35,144.23443074464362,3,0,1,1
23,143.97223901785964,1,0,1,1
22,65.80251705283011,2,0,5,1
61,25.603014163282126,9,0,4,0
36,43.2823421126636,2,0,1,0
11,70.98831314636021,3,1,0,0
54,143.21136073599988,5,2,4,0
12,38.35587825983404,2,2,0,0
22,119.25705967686758,9,2,2,0
29,34.12873011870997,0,2,3,0
16,147.563485060866,0,2,1,1
61,69.61014488418755,8,0,4,0
12,120.78049005687728,8,1,0,0
58,64.53684076544714,4,0,3,0
18,101.59695403064514,8,1,3,0
48,44.96209101620477,6,1,1,0
11,38.98273250860513,8,1,3,0
60,141.9483381438571,6,1,1,0
18,139.29414612757637,8,2,2,1
8,135.3709622276747,1,1,1,1
70,101.30634852165716,7,1,5,0
27,125.07486745811617,6,2,0,0
51,28.974801798478737,5,0,5,0
15,63.52257544578829,4,0,3,1
68,60.78140621843031,3,0,3,0
11,102.63389185383973,6,0,3,1
24,66.27451055118327,2,1,1,0
51,39.30588161367851,7,2,4,0
52,97.54071980376068,1,2,1,0
22,125.86990968698059,0,0,0,1
15,69.67605427979652,1,2,1,0
56,37.194932962802625,8,1,3,0
38,45.569465650667,4,0,2,0
52,50.87282967201992,7,1,0,0
41,58.98668708928971,2,1,5,0
57,103.56335916582019,6,1,2,0
38,98.12291298990347,1,1,0,0
13,110.4903820037151,7,1,0,0
4,67.12525798909671,6,0,3,1
34,127.11969474439718,4,1,5,1
17,46.531395950248836,3,0,1,1
8,80.97529717736,0,2,5,1
57,124.12203380038594,4,1,3,0
16,43.4206242052405,8,1,3,0
6,34.28220478630178,9,2,3,0
45,134.87891579943866,3,0,2,1
12,64.58085615869547,8,1,5,1
39,108.90311623817416,1,2,5,1
41,23.295318554312004,3,2,0,0
8,109.70609549322845,8,1,4,1
49,61.093170501106165,3,0,1,0
26,27.246310966367425,4,0,3,1
65,99.27565900125522,7,1,5,0
4,51.304496089512526,0,2,5,1
28,70.2849414667444,0,1,0,0
36,30.475505597246766,8,0,1,0
37,39.13122264234289,8,2,4,0
7,58.73704061445969,3,1,4,0
64,31.668735072820425,1,2,3,0
16,138.40741440922096,8,0,4,1
70,20.786115613917193,3,0,4,0
44,82.90182845236049,5,0,1,0
3,36.02216955723169,0,1,1,0
35,59.998281632133306,8,2,3,0
69,140.38774277637452,4,1,5,0
30,41.020291925618295,2,1,0,0
18,145.55820156338325,3,1,3,1
60,46.75326900862483,0,1,2,0
53,116.40359410068784,8,2,4,0
38,91.06804443665052,7,2,0,0
18,134.9822345875787,3,1,5,1
38,92.01912321540702,1,1,5,0
66,89.49269849032012,8,0,1,0
44,45.40954004789199,3,0,2,0
12,41.609817066715635,8,2,5,0
57,139.14358964501685,9,0,2,1
19,62.61896585050443,2,2,4,0
71,68.37069314517647,6,2,1,0
60,118.77707559569049,6,2,0,0
38,64.04705271496496,9,0,1,0
0,143.76811806307035,3,0,4,1
2,115.93060996984404,1,2,5,1
61,97.6658015345446,8,2,2,0
62,134.5163708708178,3,1,4,0
24,26.448768085432757,7,2,5,0
55,53.418149984597136,1,2,3,0
32,80.45472344871828,7,1,2,0
37,49.50721013129773,9,2,4,0
5,116.70767434927976,4,2,0,0
57,139.49704403698428,6,2,0,0
43,75.09011559102004,6,1,5,0
44,64.47723801454634,8,0,5,1
31,145.00159517788362,2,2,0,0
44,77.8308162675803,9,1,3,0
60,83.57629205840682,3,2,1,0
46,65.71448340444769,9,1,0,0
20,138.24130149157799,3,2,5,1
35,93.96421282664059,9,1,5,0
18,119.08269633361381,4,0,3,1
19,125.53487338561523,5,0,0,1
56,64.44037544924356,2,0,3,0
17,76.38026307164941,3,2,0,0
46,130.3013306728144,2,1,1,0
48,67.22319571785533,1,2,4,0
13,123.21156734874067,9,2,0,0
14,142.32900193467682,8,1,4,1
30,101.0173484988409,0,2,0,0
0,116.41154736874556,1,1,1,1
53,124.66265056534753,7,1,5,0
2,129.85515435656353,6,0,4,1
15,71.35693392138347,0,0,3,1
56,26.664249692879764,4,0,0,0
11,72.24391526077613,9,1,5,1
15,107.58830987193167,5,0,0,1
71,78.54555015150306,4,1,3,0
23,117.36520961185181,3,2,1,0
27,66.4077158309263,0,0,2,1
7,102.51673834352384,6,1,0,0
35,44.2345746310167,8,1,3,0
7,117.4180267638444,5,1,2,1
57,90.94047594569336,2,1,0,0
59,46.52837051105807,9,0,4,0
49,57.94845255471495,3,0,5,1
27,117.31913211563821,9,0,5,1
40,82.73816063599769,4,1,3,0
63,48.08408725109939,0,2,4,0
26,145.74525474813868,4,1,1,0
62,112.96625257619543,0,2,2,0
16,144.4275282301735,8,0,3,1
32,75.52365589684462,6,1,0,0
28,81.76304428992367,2,1,5,0
12,136.7341781040525,8,0,0,1
45,88.2564142319,1,1,2,0
34,111.94625854773673,6,2,4,0
5,52.78247407441889,8,2,4,0
68,78.07444093134328,5,2,3,0
46,36.04848255534617,9,1,3,0
24,46.77740466400502,4,1,4,0
65,20.12264398479204,6,2,3,0
9,25.10445671432583,5,1,4,0
55,147.04689701300083,4,2,2,0
29,51.5059803677791,1,0,3,1
4,106.23039223552026,7,2,4,1
32,129.0829608439495,6,0,3,1
64,91.58585970075336,5,0,0,0
17,39.9087850109143,4,0,5,1
48,114.65513685370163,4,2,0,0
10,98.03268331294579,8,2,1,0
25,115.06257661515876,0,1,4,1
62,120.06706097142133,8,1,1,0
58,146.80334779901688,5,0,4,1
26,94.5632264034723,3,2,5,1
48,64.41334464977824,9,1,3,0
32,104.30039239703082,6,1,4,0
0,28.897292201541397,8,1,0,0
20,136.66165138180622,4,2,3,1
54,35.519531473965586,4,1,5,0
5,62.61956892515637,7,0,0,1
68,126.04689948139571,6,2,3,0
4,97.65060918299254,7,1,4,1
2,71.17261763606747,9,1,4,1
52,81.54663571875278,1,2,0,0
22,131.09116111628344,8,1,2,1
52,64.20057018778598,2,1,4,0
36,133.05445902558228,5,0,2,1
16,31.457476026969893,5,2,3,0
0,120.983796837122,1,1,2,1
50,130.18119229711573,6,2,0,0
44,43.63629486885404,8,2,1,0
3,75.94504920838605,9,0,1,1
61,41.514970706275236,0,0,0,0
64,111.8585367692483,7,2,1,0
31,89.59520984801537,1,0,0,1
33,102.59203507208173,0,0,4,1
71,45.54330570430745,7,1,2,0
38,47.526962066814534,1,0,1,0
25,25.39465231628783,5,0,4,1
33,61.86877957544486,5,1,1,0
53,92.76680597337774,4,1,3,0
2,131.53153881965272,7,2,0,1
49,106.7005681696285,2,0,0,0
11,76.60152204196768,9,1,4,1
64,143.9056148712379,3,0,3,1
53,113.50187607485815,6,2,2,0
4,140.9214763721315,6,0,3,1
56,88.58643652538154,7,0,3,1
16,53.657555723108146,1,0,5,1
46,26.867469227413856,1,1,2,0
22,114.39103069290056,3,1,2,0
13,35.76938974071943,9,2,3,0
65,59.360766675355734,8,0,1,0
50,89.22121802490666,9,2,5,0
37,93.3741564113672,8,2,1,0
63,98.07581560832769,3,1,3,0
37,41.61319294546108,8,0,1,0
49,69.36586262681433,2,0,2,0
29,100.23524952520567,4,2,2,0
50,146.07645240239202,9,0,1,1
62,114.59204790095953,8,1,2,0
51,139.9384884222145,5,2,0,0
37,119.08756758084301,2,2,2,0
29,96.92320595601205,9,1,3,0
50,44.96303798772479,8,1,4,0
4,106.6691347460267,5,1,1,0
28,101.03934357478792,3,1,5,1
3,98.32099215944464,3,1,1,0
9,83.6721628384713,7,1,2,0
55,88.72535851860583,6,2,2,0
16,63.47752852535353,0,0,4,1
16,87.51065004349941,5,0,4,1
68,45.68226773820217,7,2,5,0
33,124.67267165684898,2,0,3,1
5,44.15100411083202,8,0,0,1
52,31.045617685630635,9,2,3,0
65,76.71198342643046,1,0,5,1
42,105.57996713578804,5,0,1,1
22,76.90318724136037,0,2,2,0
54,55.978037153670115,1,0,3,0
15,92.5622539057573,4,1,2,0
7,65.11030360358599,0,2,2,0
3,141.27279971646232,7,0,3,1
3,139.9438681484644,0,0,3,1
55,85.30833659637241,8,1,4,0
24,62.624919222373606,9,2,5,0
66,115.82721381436308,2,2,5,0
66,24.772682652798665,1,0,0,0
26,81.71997078567466,0,1,4,0
31,63.72204125514336,8,1,0,0
49,139.6696650633321,3,1,3,0
60,21.56039354544873,0,1,5,0
50,91.86593384338538,0,1,5,0
18,116.28626553866138,6,1,0,0
20,83.05233837812537,1,2,1,0
4,31.102393921153816,6,0,4,1
41,146.4199807036273,6,0,4,1
60,87.34135607889273,9,1,4,0
21,99.84421176147148,8,2,5,1
20,50.75927175197595,6,2,2,0
69,82.85475106388449,0,1,5,0
0,75.78943395458184,7,0,2,1
4,29.736459460257883,7,1,5,0
11,33.80084596117074,3,2,3,0
45,128.87142755044067,7,1,5,1
33,51.17659378685673,3,0,3,1
48,45.34457529482197,7,0,2,0
44,85.6384886625181,4,2,4,0
26,119.93712707712668,3,1,2,0
25,28.05304741526843,5,1,0,0
46,94.98502955297326,1,2,4,0
55,35.49735756927454,1,1,5,0
62,24.7399366073304,1,2,5,0
47,26.85671378108826,8,1,5,0
60,128.4413340670974,9,0,5,1
25,35.336422871648004,2,2,5,0
35,25.869677373597952,9,1,2,0
0,76.9269853285786,3,1,3,1
7,129.71915135246323,9,1,2,1
51,54.11308894360925,7,2,1,0
46,74.82264027836914,3,0,2,0
55,25.189929233287657,9,1,4,0
13,78.38020683753386,9,2,5,1
27,95.08970048282738,6,1,2,0
1,94.21791698777882,4,0,3,1
25,63.21546998266747,8,0,5,1
13,61.019313486207615,3,0,0,1
58,33.86107046175773,2,2,1,0
55,67.68378168401489,1,1,4,0
6,32.934306953485404,0,2,3,0
2,119.65747281256671,5,1,1,1
22,145.61565870726417,9,2,2,1
17,146.1096793666719,1,1,1,1
37,132.45924291880118,7,2,5,1
14,98.10297941415048,5,1,5,1
63,111.11254064170438,4,2,0,0
27,57.07675434845383,1,0,1,0
38,102.00015462244069,6,2,1,0
56,79.23444142718407,1,0,5,1
16,82.66225417100122,4,0,2,1
43,118.51095284877053,1,1,2,0
24,56.649386227642715,9,0,4,1
16,61.345149520287585,1,0,2,1
12,140.20343284672276,6,1,1,1
24,27.309158330626392,8,2,0,0
67,83.13245879373426,4,2,2,0
9,138.66410405302202,6,0,5,1
66,99.34719101636041,3,2,5,0
17,91.03291964757717,1,0,4,1
33,52.46674329981618,2,2,4,0
7,64.62581357837828,1,2,1,0
39,130.76629405461009,4,2,2,0
41,92.69835712989956,5,0,2,1
40,86.91648518838139,6,1,4,0
5,32.945362760203764,2,2,2,0
51,22.083660339166006,3,2,1,0
25,145.2790745293164,7,2,0,0
63,69.0082017472894,3,0,5,1
58,98.41769807293556,6,1,1,0
55,30.362959514347047,5,0,2,0
58,108.80485714399605,6,2,1,0
69,141.23367213177494,0,0,5,1
32,94.83648288966455,2,2,3,0
52,36.39499190880338,5,2,5,0
21,95.62379857155197,2,0,5,1
20,119.6251377036048,6,2,3,1
69,72.83414975462242,8,2,2,0
69,134.37890723239082,2,1,2,0
3,104.32878393645738,0,0,0,1
61,136.90235937759633,9,0,5,1
61,101.05569046215383,5,2,1,0
23,37.06743636062715,0,2,0,0
54,60.25992244367458,0,0,2,0
8,46.2333432728194,7,0,2,1
2,138.1474447031921,8,0,4,1
30,118.85200874737275,1,2,0,0
39,107.93178795830079,8,1,2,0
35,59.12562155211082,4,1,3,0
23,43.92582036652776,7,2,4,0
5,118.33864143855854,6,2,1,1
65,81.64053296428035,6,2,4,0
3,49.35264177958179,3,0,5,1
5,100.16085716148577,1,2,5,1
50,25.243400777998758,4,0,1,0
61,62.40213303667296,2,1,3,0
56,80.9124092968475,8,2,1,0
65,39.234583434222756,5,2,0,0
7,148.00508208680915,0,0,1,1
25,47.18265739664985,2,0,1,0
50,36.945906905624526,3,0,4,0
44,46.45953360529653,8,1,3,0
43,119.97794731076415,5,1,1,0
4,75.31573570533956,3,2,0,0
69,93.50407216782995,0,2,4,0
25,22.731190408226897,7,0,3,1
67,24.47607011453089,1,1,3,0
18,77.9573214775121,7,2,2,0
19,126.16518161621106,5,0,5,1
11,135.0810542319835,7,0,0,1
46,31.27185378743323,5,1,5,0
